Company Name,Location,Sector,Amount,Stage,Funding Year
PayMe India,Noida,FINANCE,2000000,Others,2018
Hasura,Bengaluru,AI,1600000,Others,2018
Pitstop,Bengaluru,EV,1460000,Others,2018
Fyle,Bengaluru,FINANCE,1100000,Others,2018
Cogoport,MumbAI,EV,6000000,Series A,2018
Pando,ChennAI,OTHERS,2000000,Others,2018
Mintifi,MumbAI,FINANCE,2000000,Others,2018
Carcrew,MumbAI,EV,2000000,Others,2018
Loadshare,Bengaluru,EV,5000000,Series A,2018
Yumlane,MumbAI,FOOD,4000000,Series A,2018
Kaleidofin,ChennAI,FINANCE,2800000,Others,2018
Letstrack,New Delhi,OTHERS,1700000,Others,2018
Finzy,Bangalore,FINANCE,1300000,Others,2018
Fitternity,MumbAI,HEALTH,2000000,Others,2018
myUpchar,New Delhi,HEALTH,5000000,Series A,2018
MissMalini EntertAInment,MumbAI,ENTERTAINMENT,1518400,Others,2018
ZestMoney,Bangalore,AI,13400000,Series A,2018
Inthree Access,ChennAI,OTHERS,4000000,Series A,2018
BUGWORKS Research India,Bangalore,EV,9000000,Series A,2018
Hansel.io,Bangalore,OTHERS,4000000,Series A,2018
Racetrack,Bangalore,EV,4993200,Others,2018
FabAlley,Noida,FINANCE,8760000,Series B,2018
SBI Life,MumbAI,FINANCE,742000000,Others,2018
Studds Accessories,Faridabad,FINANCE,14600000,Others,2018
Design Cafe,Bengaluru,OTHERS,29200000,Series B,2018
NoPaperForms Solutions Pvt. Ltd.,New Delhi,EV,3980000,Series B,2018
Rays Power Infra,JAIpur,OTHERS,29200000,Others,2018
LetsTransport,Bangalore,OTHERS,14600000,Series B,2018
Portea HEALTH,Bangalore,HEALTH,3650000,Others,2018
Aavas Financiers,JAIpur,FINANCE,29200000,Others,2018
Swiggy,Bangalore,FOOD,1000000000,Series H,2018
FOODbasket,Haryana,FINANCE,7000000,Series A,2018
Toppr,MumbAI,EV,35000000,Series C,2018
Jagaran Microfin,Kolkata,ENTERTAINMENT,8030000,Others,2018
Vivriti Capital,ChennAI,FINANCE,28500000,Others,2018
Impact Guru,MumbAI,OTHERS,2000000,Series A,2018
MobiKwik,Gurgaon,OTHERS,3504000,Series E,2018
DataTrAIned,Bangalore,EV,1752000,Others,2018
OneAssist,MumbAI,FINANCE,2400000,Others,2018
Satin FINANCEcare Network Limited (SCNL),New Delhi,FINANCE,30000000,Others,2018
APAC FINANCE,MumbAI,FINANCE,36500000,Others,2018
Moglix,Noida,OTHERS,23000000,Series C,2018
Shop101,MumbAI,OTHERS,11000000,Series B,2018
Housejoy,Bengaluru,OTHERS,3240000,Series B,2018
Ninjacart,Bengaluru,AI,36500000,Series B,2018
BYJUâS,Bangalore,EV,540000000,Others,2018
Wakefit,Bangalore,EV,9490000,Others,2018
Hero Electric,New Delhi,EV,23360000,Others,2018
Roposo,Gurgaon,AI,10000000,Series C,2018
Wow Venue,MumbAI,OTHERS,1500000,Others,2018
Boodmo,Gurgaon,EV,1022000,Others,2018
HalaPlay EVnologies,Bangalore,ENTERTAINMENT,5000000,Series A,2018
WheelsEMI,Pune,ENTERTAINMENT,14000000,Series B,2018
Forum for Innovation Incubation Research and Entrepreneurship,MargÃ£o,FINANCE,1496500,Others,2018
OYO,Gurgaon,HEALTH,100000000,Series E,2018
Quikr,Bangalore,OTHERS,8030000,Others,2018
Shopkirana,Indore,FINANCE,2000000,Others,2018
BuildSupply,Gurgaon,OTHERS,3650000,Series A,2018
Fusion MicroFINANCE,New Delhi,FINANCE,75920000,Series E,2018
ION Energy,MumbAI,OTHERS,1041000,Others,2018
Credy,Bengaluru,FINANCE,1400000,Others,2018
iChamp,Gurgaon,OTHERS,5000000,Others,2018
Qandle,Gurgaon,AI,1200000,Others,2018
Doodhwala,Bengaluru,FOOD,2200000,Others,2018
